,id,province,category,city,country,name,price,rating
0,1,british columbia,featured_tours_and_tickets,vancouver,canada,vancouver_city_sightseeing_tour,80.0,4.5
1,2,british columbia,featured_tours_and_tickets,vancouver,canada,vancouver_to_victoria_and_butchart_gardens_tour_by_bus,210.0,5.0
2,3,quebec,featured_tours_and_tickets,montreal,canada,quebec_city_and_montmorency_falls_day_trip_from_montreal,115.0,4.5
3,4,ontario,featured_tours_and_tickets,toronto,canada,niagara_falls_day_trip_from_toronto,169.0,5.0
4,5,ontario,featured_tours_and_tickets,niagara falls,canada,"best_of_niagara_falls_tour_from_niagara_falls,_ontario",158.0,5.0
5,6,ontario,featured_tours_and_tickets,niagara falls,canada,niagara_falls_in_one_day:_deluxe_sightseeing_tour_of_american_and_canadian_sides,204.42,5.0
6,7,british columbia,featured_tours_and_tickets,vancouver,canada,whistler_small-group_day_trip_from_vancouver,145.0,5.0
7,8,ontario,featured_tours_and_tickets,niagara falls,canada,ultimate_niagara_falls_tour_plus_helicopter_ride_and_skylon_tower_lunch,317.42,5.0
8,9,british columbia,local_experiences,vancouver island,canada,"local_food,_craft_beverage_and_estate_winery_tour_of_cowichan_valley",150.0,5.0
9,10,british columbia,local_experiences,vancouver,canada,private_tour:_vancouver_to_victoria_island,670.0,5.0
10,11,ontario,local_experiences,niagara falls,canada,"private_custom-made_niagara_falls_wine,_beer,_and_spirits_tour",139.0,5.0
11,12,british columbia,"air,_helicopter_&_balloon_tours",vancouver,canada,vancouver_seaplane_tour,135.0,5.0
12,13,ontario,"air,_helicopter_&_balloon_tours",niagara falls,canada,niagara_falls_grand_helicopter_tour,131.5,5.0
13,14,british columbia,"air,_helicopter_&_balloon_tours",whistler,canada,whistler_helicopter_tour,187.95,5.0
14,15,ontario,"air,_helicopter_&_balloon_tours",niagara falls,canada,niagara_falls_helicopter_tour,145.0,4.5
15,16,ontario,"air,_helicopter_&_balloon_tours",toronto,canada,7-minute_helicopter_tour_over_toronto,123.18,4.5
16,17,british columbia,"air,_helicopter_&_balloon_tours",vancouver,canada,seaplane_flight_to_victoria_and_whale-watching_cruise,469.0,5.0
17,18,ontario,"air,_helicopter_&_balloon_tours",niagara falls,canada,ultimate_niagara_falls_tour_plus_helicopter_ride_and_skylon_tower_lunch,317.42,5.0
18,19,ontario,"air,_helicopter_&_balloon_tours",niagara falls,canada,niagara_falls_airplane_tour,129.0,5.0
19,20,ontario,"air,_helicopter_&_balloon_tours",toronto,canada,airliner_adventures_package,129.0,5.0
20,21,british columbia,"air,_helicopter_&_balloon_tours",vancouver island,canada,yukon-northern_lights_4-days_adventure_in_whitehorse,344.60000610000003,5.0
21,22,british columbia,"air,_helicopter_&_balloon_tours",vancouver,canada,vancouver_to_seattle_seaplane_flight,370.5,5.0
22,23,ontario,"air,_helicopter_&_balloon_tours",toronto,canada,14-minute_helicopter_tour_over_toronto,258.78,5.0
23,24,british columbia,"air,_helicopter_&_balloon_tours",vancouver,canada,victoria_and_butchart_gardens_by_helicopter_and_speed_boat,579.0,5.0
24,25,british columbia,"air,_helicopter_&_balloon_tours",vancouver,canada,mount_mamquam_and_alpine_lakes_seaplane_tour_from_vancouver,369.0,4.5
25,26,quebec,"air,_helicopter_&_balloon_tours",montreal,canada,helicopter_tour_over_montreal,179.0,5.0
26,27,british columbia,"air,_helicopter_&_balloon_tours",squamish,canada,squamish_explorer_flightseeing_tour,162.75,5.0
27,28,british columbia,"air,_helicopter_&_balloon_tours",vancouver,canada,victoria_excursion_from_vancouver_by_helicopter_and_sea_plane,699.0,5.0
28,29,ontario,"air,_helicopter_&_balloon_tours",niagara falls,canada,"niagara_winter_wonderland_tour_-_air_tour,_winery_tour,_chocolate_factory_tour",144.5,5.0
29,30,ontario,"air,_helicopter_&_balloon_tours",gananoque,canada,thousand_islands_two_castle_helicopter_tour,265.64,5.0
30,31,quebec,"air,_helicopter_&_balloon_tours",mont tremblant,canada,helicopter_tour_over_mont-tremblant,171.31,5.0
31,32,british columbia,"air,_helicopter_&_balloon_tours",sunshine coast,canada,sechelt_panorama_seaplane_experience,119.0,5.0
32,33,british columbia,"air,_helicopter_&_balloon_tours",vancouver,canada,victoria_and_butchart_gardens_by_seaplane_and_speed_boat,489.0,5.0
33,34,british columbia,"air,_helicopter_&_balloon_tours",vancouver,canada,whistler_day_trip_by_seaplane_from_vancouver,409.0,4.5
34,35,british columbia,"air,_helicopter_&_balloon_tours",vancouver,canada,whales_&_fly:_whale_watching_from_vancouver_to_victoria_&_return_seaplane_flight,447.57,5.0
35,36,british columbia,"air,_helicopter_&_balloon_tours",vancouver,canada,vancouver_to_victoria_by_seaplane_and_ferry,289.0,4.5
36,37,british columbia,"air,_helicopter_&_balloon_tours",vancouver,canada,seaplane_flight_to_victoria_with_ground_transport_and_butchart_gardens_admission,449.0,5.0
37,38,ontario,"air,_helicopter_&_balloon_tours",niagara falls,canada,helicopter_ride_over_the_falls_and_sit_down_meal_at_elements_located_on_falls,265.84,5.0
38,39,quebec,"air,_helicopter_&_balloon_tours",quebec city,canada,quebec_city_helicopter_tour_over_montmorency_falls,218.4,4.5
39,40,british columbia,"air,_helicopter_&_balloon_tours",vancouver island,canada,seaplane_flight_to_vancouver_with_bus_tour_from_victoria,439.0,5.0
40,41,british columbia,"air,_helicopter_&_balloon_tours",vancouver,canada,vancouver_to_victoria_seaplane_flight,218.0,5.0
41,42,british columbia,"air,_helicopter_&_balloon_tours",vancouver island,canada,victoria_to_vancouver_seaplane_flight,218.0,5.0
42,43,ontario,"air,_helicopter_&_balloon_tours",toronto,canada,toronto_aerial_tour_in_luxury_with_a_niagara_falls_winery_tour_and_tasting,189.0,5.0
